POINT,CHAINAGE,EASTING,NORTHING,ELEVATION
886,14065,271190.9537,2103862.493,-18.27313275
887,14066,271191.6544,2103863.206,-18.27015076
888,14067,271192.3537,2103863.921,-18.26716877
889,14068,271193.0514,2103864.637,-18.26418678
890,14069,271193.7476,2103865.354,-18.26120479
891,14070,271194.4423,2103866.073,-18.2582228
892,14071,271195.1357,2103866.793,-18.2552408
893,14072,271195.8276,2103867.515,-18.25225881
894,14073,271196.5182,2103868.238,-18.24927682
895,14074,271197.2075,2103868.962,-18.24629483
896,14075,271197.8955,2103869.688,-18.24331284
897,14076,271198.5822,2103870.414,-18.24033085
898,14077,271199.2676,2103871.142,-18.23734886
899,14078,271199.9519,2103871.871,-18.23436687
900,14079,271200.6351,2103872.601,-18.23138488
901,14080,271201.317,2103873.332,-18.22840289
902,14081,271201.9979,2103874.065,-18.22542089
903,14082,271202.6778,2103874.798,-18.2224389
904,14083,271203.3566,2103875.532,-18.21945691
905,14084,271204.0344,2103876.267,-18.21647492
906,14085,271204.7112,2103877.003,-18.21349293
907,14086,271205.3872,2103877.74,-18.21051094
908,14087,271206.0622,2103878.478,-18.20752895
909,14088,271206.7364,2103879.216,-18.20454696
910,14089,271207.4097,2103879.955,-18.20156497
911,14090,271208.0823,2103880.695,-18.19858298
912,14091,271208.7541,2103881.436,-18.19560098
913,14092,271209.4252,2103882.177,-18.19261899
914,14093,271210.0956,2103882.919,-18.189637
915,14094,271210.7653,2103883.662,-18.18665501
916,14095,271211.4344,2103884.405,-18.18367302
917,14096,271212.103,2103885.148,-18.18069103
918,14097,271212.771,2103885.893,-18.17770904
919,14098,271213.4385,2103886.637,-18.17472705
920,14099,271214.1055,2103887.382,-18.17174506
921,14100,271214.7721,2103888.128,-18.16876307
922,14101,271215.4383,2103888.873,-18.16578107
923,14102,271216.1041,2103889.619,-18.16279908
924,14103,271216.7696,2103890.366,-18.15981709
925,14104,271217.4348,2103891.113,-18.1568351
926,14105,271218.0997,2103891.859,-18.15385311
927,14106,271218.7645,2103892.607,-18.15087112
928,14107,271219.429,2103893.354,-18.14788913
929,14108,271220.0933,2103894.101,-18.14490714
930,14109,271220.7576,2103894.849,-18.14192515
931,14110,271221.4218,2103895.596,-18.13894316
932,14111,271222.0859,2103896.344,-18.13596116
933,14112,271222.7484,2103897.093,-18.13232831
934,14113,271223.4103,2103897.843,-18.12844632
935,14114,271224.0723,2103898.592,-18.12456433
936,14115,271224.7342,2103899.342,-18.12068234
937,14116,271225.3961,2103900.091,-18.11680035
938,14117,271226.0581,2103900.841,-18.11291836
939,14118,271226.72,2103901.59,-18.10903637
940,14119,271227.382,2103902.34,-18.10515438
941,14120,271228.0439,2103903.089,-18.10127238
942,14121,271228.7058,2103903.839,-18.09739039
943,14122,271229.3678,2103904.589,-18.0935084
944,14123,271230.0297,2103905.338,-18.08962641
945,14124,271230.6916,2103906.088,-18.08574442
946,14125,271231.3536,2103906.837,-18.08186243
947,14126,271232.0155,2103907.587,-18.07798044
948,14127,271232.6774,2103908.336,-18.07409845
949,14128,271233.3394,2103909.086,-18.07021646
950,14129,271234.0013,2103909.836,-18.06633447
951,14130,271234.6632,2103910.585,-18.06245247
952,14131,271235.3252,2103911.335,-18.05857048
953,14132,271235.9871,2103912.084,-18.05468849
954,14133,271236.649,2103912.834,-18.0508065
955,14134,271237.311,2103913.583,-18.04692451
956,14135,271237.9729,2103914.333,-18.04304252
957,14136,271238.6348,2103915.082,-18.03916053
958,14137,271239.2968,2103915.832,-18.03527854
959,14138,271239.9587,2103916.582,-18.03139655
960,14139,271240.6207,2103917.331,-18.02751456
961,14140,271241.2826,2103918.081,-18.02363256
962,14141,271241.9445,2103918.83,-18.01975057
963,14142,271242.6065,2103919.58,-18.01586858
964,14143,271243.2684,2103920.329,-18.01198659
965,14144,271243.9303,2103921.079,-18.0081046
966,14145,271244.5923,2103921.829,-18.00422261
967,14146,271245.2542,2103922.578,-18.00034062
968,14147,271245.9161,2103923.328,-17.99645863
969,14148,271246.5781,2103924.077,-17.99257664
970,14149,271247.24,2103924.827,-17.98869465
971,14150,271247.9019,2103925.576,-17.98481265
972,14151,271248.5639,2103926.326,-17.98093066
973,14152,271249.2258,2103927.075,-17.97704867
974,14153,271249.8877,2103927.825,-17.97316668
975,14154,271250.5497,2103928.575,-17.96928469
976,14155,271251.2116,2103929.324,-17.9654027
977,14156,271251.8735,2103930.074,-17.96152071
978,14157,271252.5355,2103930.823,-17.95763872
979,14158,271253.1974,2103931.573,-17.95375673
980,14159,271253.8593,2103932.322,-17.94987474
981,14160,271254.5213,2103933.072,-17.94599274
982,14161,271255.1832,2103933.821,-17.94211075
983,14162,271255.8452,2103934.571,-17.93822876
984,14163,271256.5071,2103935.321,-17.93434677
985,14164,271257.169,2103936.07,-17.93046478
986,14165,271257.831,2103936.82,-17.92658279
987,14166,271258.4929,2103937.569,-17.9227008
988,14167,271259.1548,2103938.319,-17.91881881
989,14168,271259.8168,2103939.068,-17.91493682
990,14169,271260.4787,2103939.818,-17.91105483
991,14170,271261.1406,2103940.568,-17.90717283
992,14171,271261.8036,2103941.316,-17.90286031
993,14172,271262.468,2103942.064,-17.89801468
994,14173,271263.1324,2103942.811,-17.89316906
995,14174,271263.797,2103943.558,-17.88832343
996,14175,271264.4618,2103944.305,-17.8834778
997,14176,271265.1268,2103945.052,-17.87863217
998,14177,271265.7922,2103945.799,-17.87378655
999,14178,271266.4579,2103946.545,-17.86894092
1000,14179,271267.1241,2103947.29,-17.86409529
1001,14180,271267.7908,2103948.036,-17.85924966
1002,14181,271268.458,2103948.781,-17.85440404
1003,14182,271269.1258,2103949.525,-17.84955841
1004,14183,271269.7943,2103950.269,-17.84471278
1005,14184,271270.4636,2103951.012,-17.83986715
1006,14185,271271.1336,2103951.754,-17.83502153
1007,14186,271271.8044,2103952.495,-17.8301759
1008,14187,271272.4762,2103953.236,-17.82533027
1009,14188,271273.1489,2103953.976,-17.82048465
1010,14189,271273.8226,2103954.715,-17.81563902
1011,14190,271274.4974,2103955.453,-17.81079339
1012,14191,271275.1734,2103956.189,-17.80594776
1013,14192,271275.8505,2103956.925,-17.80110214
1014,14193,271276.5288,2103957.66,-17.79625651
1015,14194,271277.2085,2103958.393,-17.79141088
1016,14195,271277.8895,2103959.125,-17.78656525
1017,14196,271278.5719,2103959.856,-17.78171963
1018,14197,271279.2557,2103960.585,-17.776874
1019,14198,271279.9411,2103961.313,-17.77202837
1020,14199,271280.628,2103962.04,-17.76718274
1021,14200,271281.3166,2103962.765,-17.76233712
1022,14201,271282.0068,2103963.488,-17.75749149
1023,14202,271282.6988,2103964.21,-17.75264586
1024,14203,271283.3925,2103964.929,-17.74780023
1025,14204,271284.0881,2103965.648,-17.74295461
1026,14205,271284.7856,2103966.364,-17.73810898
1027,14206,271285.485,2103967.078,-17.73326335
1028,14207,271286.1864,2103967.79,-17.72841773
1029,14208,271286.8898,2103968.501,-17.7235721
1030,14209,271287.5953,2103969.209,-17.71872647
1031,14210,271288.303,2103969.915,-17.71388084
1032,14211,271289.0128,2103970.619,-17.70903522
1033,14212,271289.7249,2103971.32,-17.70418959
1034,14213,271290.4392,2103972.019,-17.69934396
1035,14214,271291.1559,2103972.716,-17.69449833
1036,14215,271291.8749,2103973.41,-17.68965271
1037,14216,271292.5964,2103974.102,-17.68480708
1038,14217,271293.3203,2103974.791,-17.67996145
1039,14218,271294.0467,2103975.478,-17.67511582
1040,14219,271294.7757,2103976.161,-17.6702702
1041,14220,271295.5073,2103976.842,-17.66542457
1042,14221,271296.2415,2103977.52,-17.66057894
1043,14222,271296.9784,2103978.195,-17.65573331
1044,14223,271297.718,2103978.867,-17.65088769
1045,14224,271298.4604,2103979.536,-17.64604206
1046,14225,271299.2056,2103980.202,-17.64119643
1047,14226,271299.9526,2103980.866,-17.63678134
1048,14227,271300.7014,2103981.527,-17.63289935
1049,14228,271301.4531,2103982.186,-17.62901736
1050,14229,271302.2076,2103982.841,-17.62513537
1051,14230,271302.9649,2103983.493,-17.62125337
1052,14231,271303.7251,2103984.141,-17.61737138
1053,14232,271304.4881,2103984.787,-17.61348939
1054,14233,271305.2539,2103985.428,-17.6096074
1055,14234,271306.0224,2103986.067,-17.60572541
1056,14235,271306.7938,2103986.702,-17.60184342
1057,14236,271307.5678,2103987.334,-17.59796143
1058,14237,271308.3447,2103987.963,-17.59407944
1059,14238,271309.1242,2103988.588,-17.59019745
1060,14239,271309.9065,2103989.209,-17.58631546
1061,14240,271310.6915,2103989.828,-17.58243346
1062,14241,271311.4791,2103990.443,-17.57855147
1063,14242,271312.2694,2103991.054,-17.57466948
1064,14243,271313.0624,2103991.662,-17.57078749
1065,14244,271313.858,2103992.267,-17.5669055
1066,14245,271314.6562,2103992.868,-17.56302351
1067,14246,271315.457,2103993.465,-17.55914152
1068,14247,271316.2604,2103994.06,-17.55525953
1069,14248,271317.0664,2103994.65,-17.55137754
1070,14249,271317.875,2103995.237,-17.54749554
1071,14250,271318.6861,2103995.821,-17.54361355
1072,14251,271319.4997,2103996.401,-17.53973156
1073,14252,271320.3158,2103996.978,-17.53584957
1074,14253,271321.1345,2103997.551,-17.53196758
1075,14254,271321.9556,2103998.12,-17.52808559
1076,14255,271322.7792,2103998.686,-17.5242036
1077,14256,271323.6052,2103999.248,-17.52032161
1078,14257,271324.4337,2103999.807,-17.51643962
1079,14258,271325.2646,2104000.362,-17.51255763
1080,14259,271326.0979,2104000.913,-17.50867563
1081,14260,271326.9336,2104001.461,-17.50479364
1082,14261,271327.7717,2104002.005,-17.50091165
1083,14262,271328.6121,2104002.546,-17.49702966
1084,14263,271329.4548,2104003.083,-17.49314767
1085,14264,271330.2999,2104003.616,-17.48926568
1086,14265,271331.1473,2104004.145,-17.48538369
1087,14266,271331.997,2104004.671,-17.4815017
1088,14267,271332.849,2104005.193,-17.47761971
1089,14268,271333.7033,2104005.712,-17.47373772
1090,14269,271334.5597,2104006.226,-17.46985572
1091,14270,271335.4185,2104006.737,-17.46597373
1092,14271,271336.2794,2104007.245,-17.46209174
1093,14272,271337.1425,2104007.748,-17.45820975
1094,14273,271338.0078,2104008.248,-17.45432776
1095,14274,271338.8753,2104008.744,-17.45044577
1096,14275,271339.7449,2104009.236,-17.44656378
1097,14276,271340.6167,2104009.724,-17.44268179
1098,14277,271341.4905,2104010.209,-17.4387998
1099,14278,271342.3665,2104010.69,-17.43491781
1100,14279,271343.2445,2104011.167,-17.43103581
1101,14280,271344.1247,2104011.64,-17.42715382
1102,14281,271345.0068,2104012.109,-17.42327183
1103,14282,271345.891,2104012.575,-17.41938984
1104,14283,271346.7772,2104013.036,-17.41550785
1105,14284,271347.6654,2104013.494,-17.41162586
1106,14285,271348.5556,2104013.948,-17.40774387
1107,14286,271349.4478,2104014.398,-17.40386188
1108,14287,271350.3419,2104014.844,-17.39997989
1109,14288,271351.2379,2104015.286,-17.3960979
1110,14289,271352.1359,2104015.725,-17.3922159
1111,14290,271353.0357,2104016.159,-17.38833391
1112,14291,271353.9374,2104016.59,-17.38445192
1113,14292,271354.841,2104017.016,-17.38056993
1114,14293,271355.7465,2104017.439,-17.37668794
1115,14294,271356.6537,2104017.858,-17.37280595
1116,14295,271357.5628,2104018.273,-17.36892396
1117,14296,271358.4737,2104018.683,-17.36504197
1118,14297,271359.3863,2104019.09,-17.36115998
1119,14298,271360.3007,2104019.493,-17.35727799
1120,14299,271361.2169,2104019.892,-17.35339599
1121,14300,271362.1348,2104020.287,-17.349514
1122,14301,271363.0544,2104020.678,-17.34563201
1123,14302,271363.9756,2104021.065,-17.34175002
1124,14303,271364.8986,2104021.448,-17.33786803
1125,14304,271365.8232,2104021.827,-17.33398604
1126,14305,271366.7494,2104022.202,-17.33010405
1127,14306,271367.6773,2104022.573,-17.32622206
1128,14307,271368.6068,2104022.939,-17.32234007
1129,14308,271369.5378,2104023.302,-17.31845808
1130,14309,271370.4705,2104023.661,-17.31457608
1131,14310,271371.4046,2104024.016,-17.31069409
1132,14311,271372.3404,2104024.366,-17.3068121
1133,14312,271373.2776,2104024.713,-17.30293011
1134,14313,271374.2163,2104025.055,-17.29904812
1135,14314,271375.1565,2104025.394,-17.29516613
1136,14315,271376.0982,2104025.728,-17.29128414
1137,14316,271377.0413,2104026.058,-17.28740215
1138,14317,271377.9858,2104026.384,-17.28352016
1139,14318,271378.9318,2104026.706,-17.27963817
1140,14319,271379.8791,2104027.024,-17.27575617
1141,14320,271380.8278,2104027.338,-17.27187418
1142,14321,271381.7779,2104027.647,-17.26799219
1143,14322,271382.7293,2104027.953,-17.2641102
1144,14323,271383.682,2104028.254,-17.26022821
1145,14324,271384.636,2104028.551,-17.25634622
1146,14325,271385.5913,2104028.844,-17.25246423
1147,14326,271386.5479,2104029.133,-17.24858224
1148,14327,271387.5057,2104029.418,-17.24470025
1149,14328,271388.4648,2104029.698,-17.24081826
1150,14329,271389.425,2104029.975,-17.23693626
1151,14330,271390.3865,2104030.247,-17.23305427
1152,14331,271391.3491,2104030.515,-17.22917228
1153,14332,271392.3129,2104030.779,-17.22529029
1154,14333,271393.2778,2104031.038,-17.2214083
1155,14334,271394.2438,2104031.294,-17.21752631
1156,14335,271395.211,2104031.545,-17.21364432
1157,14336,271396.1792,2104031.792,-17.20976233
1158,14337,271397.1485,2104032.035,-17.20588034
1159,14338,271398.1188,2104032.274,-17.20199835
1160,14339,271399.0902,2104032.508,-17.19811635
1161,14340,271400.0626,2104032.738,-17.19423436
1162,14341,271401.0359,2104032.964,-17.19035237
1163,14342,271402.0103,2104033.186,-17.18647038
1164,14343,271402.9856,2104033.403,-17.18258839
1165,14344,271403.9618,2104033.616,-17.1787064
1166,14345,271404.9389,2104033.825,-17.17482441
1167,14346,271405.917,2104034.03,-17.17094242
1168,14347,271406.8959,2104034.23,-17.16706043
1169,14348,271407.8757,2104034.427,-17.16317844
1170,14349,271408.8563,2104034.619,-17.15929644
1171,14350,271409.8378,2104034.806,-17.15541445
1172,14351,271410.82,2104034.99,-17.15153246
1173,14352,271411.8031,2104035.169,-17.14765047
1174,14353,271412.7869,2104035.344,-17.14376848
1175,14354,271413.7715,2104035.514,-17.13988649
1176,14355,271414.7568,2104035.681,-17.1360045
1177,14356,271415.7428,2104035.843,-17.13212251
1178,14357,271416.7295,2104036,-17.12824052
1179,14358,271417.7169,2104036.154,-17.12435853
1180,14359,271418.705,2104036.303,-17.12047653
1181,14360,271419.6936,2104036.448,-17.11659454
1182,14361,271420.6829,2104036.588,-17.11271255
1183,14362,271421.6729,2104036.724,-17.10883056
1184,14363,271422.6633,2104036.856,-17.10494857
1185,14364,271423.6544,2104036.984,-17.10106658
1186,14365,271424.646,2104037.107,-17.09718459
1187,14366,271425.6381,2104037.226,-17.0933026
1188,14367,271426.6308,2104037.341,-17.08942061
1189,14368,271427.6239,2104037.451,-17.08553862
1190,14369,271428.6175,2104037.557,-17.08165662
1191,14370,271429.6115,2104037.659,-17.07777463
1192,14371,271430.606,2104037.756,-17.07389264
1193,14372,271431.6009,2104037.85,-17.07001065
1194,14373,271432.5962,2104037.938,-17.06612866
1195,14374,271433.5919,2104038.023,-17.06224667
1196,14375,271434.5879,2104038.103,-17.05836468
1197,14376,271435.5842,2104038.179,-17.05448269
1198,14377,271436.5809,2104038.25,-17.0506007
1199,14378,271437.5779,2104038.317,-17.04671871
1200,14379,271438.5752,2104038.38,-17.04283671
1201,14380,271439.5727,2104038.438,-17.03895472
1202,14381,271440.5705,2104038.492,-17.03507273
1203,14382,271441.5685,2104038.542,-17.03119074
1204,14383,271442.5667,2104038.587,-17.02730875
1205,14384,271443.5651,2104038.629,-17.02342676
1206,14385,271444.5636,2104038.665,-17.01954477
1207,14386,271445.5624,2104038.698,-17.01566278
1208,14387,271446.5612,2104038.726,-17.01178079
1209,14388,271447.5602,2104038.749,-17.0078988
1210,14389,271448.5592,2104038.769,-17.0040168
1211,14390,271449.5583,2104038.784,-17.00013481
1212,14391,271450.5575,2104038.794,-16.99625282
1213,14392,271451.5567,2104038.801,-16.99237083
1214,14393,271452.556,2104038.803,-16.98848884
1215,14394,271453.5552,2104038.8,-16.98460685
1216,14395,271454.5544,2104038.794,-16.98072486
1217,14396,271455.5536,2104038.783,-16.97684287
1218,14397,271456.5527,2104038.767,-16.97296088
1219,14398,271457.5518,2104038.747,-16.96907889
1220,14399,271458.5507,2104038.723,-16.96519689
1221,14400,271459.5495,2104038.695,-16.9613149
1222,14401,271460.5482,2104038.662,-16.95743291
1223,14402,271461.5468,2104038.625,-16.95355092
1224,14403,271462.5452,2104038.584,-16.94966893
1225,14404,271463.5434,2104038.538,-16.94578694
1226,14405,271464.5413,2104038.488,-16.94190495
1227,14406,271465.5391,2104038.433,-16.93802296
1228,14407,271466.5366,2104038.374,-16.93414097
1229,14408,271467.5338,2104038.311,-16.93025898
1230,14409,271468.5308,2104038.244,-16.92637698
1231,14410,271469.5274,2104038.172,-16.92249499
1232,14411,271470.5238,2104038.096,-16.918613
1233,14412,271471.5198,2104038.015,-16.9148141
1234,14413,271472.5154,2104037.93,-16.91119683
1235,14414,271473.5107,2104037.841,-16.90776139
1236,14415,271474.5055,2104037.748,-16.90450776
1237,14416,271475.5,2104037.65,-16.90143595
1238,14417,271476.494,2104037.548,-16.89854595
1239,14418,271477.4875,2104037.442,-16.89583778
1240,14419,271478.4806,2104037.331,-16.89331142
1241,14420,271479.4732,2104037.216,-16.89096688
1242,14421,271480.4653,2104037.096,-16.88880416
1243,14422,271481.4568,2104036.973,-16.88682325
1244,14423,271482.4478,2104036.845,-16.88502417
1245,14424,271483.4383,2104036.712,-16.8834069
1246,14425,271484.4281,2104036.576,-16.88197145
1247,14426,271485.4174,2104036.435,-16.88071781
1248,14427,271486.406,2104036.29,-16.879646
1249,14428,271487.394,2104036.14,-16.878756
1250,14429,271488.3813,2104035.986,-16.87804782
1251,14430,271489.368,2104035.828,-16.87752146
1252,14431,271490.3539,2104035.666,-16.87717691
1253,14432,271491.3392,2104035.499,-16.87701418
1254,14433,271492.3237,2104035.328,-16.877
1255,14434,271493.3074,2104035.153,-16.877
1256,14435,271494.2905,2104034.974,-16.87717793
1257,14436,271495.2733,2104034.793,-16.87814157
1258,14437,271496.2554,2104034.608,-16.87910521
1259,14438,271497.2367,2104034.42,-16.88006884
1260,14439,271498.2172,2104034.227,-16.88103248
1261,14440,271499.197,2104034.03,-16.88199612
1262,14441,271500.176,2104033.829,-16.88295975
1263,14442,271501.1543,2104033.624,-16.88392339
1264,14443,271502.1318,2104033.416,-16.88488703
1265,14444,271503.1085,2104033.204,-16.88585066
1266,14445,271504.0845,2104032.989,-16.8868143
1267,14446,271505.0598,2104032.77,-16.88777793
1268,14447,271506.0343,2104032.548,-16.88874157
1269,14448,271507.0081,2104032.322,-16.88970521
1270,14449,271507.9811,2104032.093,-16.89066884
1271,14450,271508.9534,2104031.862,-16.89163248
1272,14451,271509.925,2104031.627,-16.89259612
1273,14452,271510.8959,2104031.389,-16.89355975
1274,14453,271511.8661,2104031.148,-16.89452339
1275,14454,271512.8357,2104030.904,-16.89548703
1276,14455,271513.8045,2104030.658,-16.89645066
1277,14456,271514.7727,2104030.409,-16.8974143
1278,14457,271515.7402,2104030.157,-16.89837793
1279,14458,271516.7071,2104029.903,-16.89934157
1280,14459,271517.6733,2104029.646,-16.90030521
1281,14460,271518.639,2104029.387,-16.90126884
1282,14461,271519.604,2104029.126,-16.90223248
1283,14462,271520.5685,2104028.862,-16.90319612
1284,14463,271521.5324,2104028.597,-16.90415975
1285,14464,271522.4957,2104028.329,-16.90512339
1286,14465,271523.4585,2104028.059,-16.90608703
1287,14466,271524.4208,2104027.788,-16.90705066
1288,14467,271525.3826,2104027.514,-16.9080143
1289,14468,271526.3439,2104027.239,-16.90897793
1290,14469,271527.3047,2104026.963,-16.90994157
1291,14470,271528.2651,2104026.684,-16.91090521
1292,14471,271529.225,2104026.404,-16.91186884
1293,14472,271530.1846,2104026.123,-16.91283248
1294,14473,271531.1438,2104025.841,-16.91379612
1295,14474,271532.1025,2104025.557,-16.91475975
1296,14475,271533.061,2104025.272,-16.91572339
1297,14476,271534.0191,2104024.985,-16.91668703
1298,14477,271534.9769,2104024.698,-16.91765066
1299,14478,271535.9344,2104024.41,-16.9186143
1300,14479,271536.8917,2104024.121,-16.91957793
1301,14480,271537.8487,2104023.831,-16.92054157
1302,14481,271538.8055,2104023.54,-16.92150521
1303,14482,271539.7621,2104023.249,-16.92246884
1304,14483,271540.7186,2104022.957,-16.92343248
1305,14484,271541.6748,2104022.664,-16.92439612
1306,14485,271542.631,2104022.372,-16.92535975
1307,14486,271543.587,2104022.078,-16.92632339
1308,14487,271544.5429,2104021.785,-16.92728703
1309,14488,271545.4988,2104021.491,-16.92825066
1310,14489,271546.4547,2104021.197,-16.9292143
1311,14490,271547.4103,2104020.902,-16.93
1312,14491,271548.3652,2104020.605,-16.93
1313,14492,271549.32,2104020.308,-16.93
1314,14493,271550.2749,2104020.011,-16.93
1315,14494,271551.2298,2104019.714,-16.93
1316,14495,271552.1847,2104019.417,-16.93
1317,14496,271553.1395,2104019.12,-16.93
1318,14497,271554.0944,2104018.823,-16.93
1319,14498,271555.0493,2104018.526,-16.93
1320,14499,271556.0041,2104018.229,-16.93
1321,14500,271556.959,2104017.932,-16.93
